Başlık,Konum,Oda Sayısı,Metrekare,Kat,Fiyat,Yapı Yaşı,Eşya,Isıtma,URL
Sarıyer Tarabya Boğaz Manzaralı Tripleks Bahçeli 4+1 Kiralık Müstakil Ev,İstanbul / Sarıyer / Tarabya Mah.,4+1,389,9,149000,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/mustakil-ev/124862-1632
Esenyurt Royal Garden 1+1 Kiralık Eşyalı Şehir Cephe Harika Daire,İstanbul / Esenyurt / Barbaros Hayrettin Paşa Mah.,1+1,64,2,26000,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/124862-1607
Sultanbeyli'de Saklı Bahçe Evleri Sitesinde Kiralık 3+1 Daire,İstanbul / Sultanbeyli / Akşemsettin Mah.,3+1,137,1,48000,2,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sultanbeyli-aksemsettin-kiralik/daire/165769-17
Havaalanına Komşu Havuzlu Site İçinde Kiralık 3+1 Geniş Daire,İstanbul / Pendik / Çamlık Mah.,3+1,120,6,87500,19,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-pendik-camlik-kiralik/daire/165769-26
Çok Merkezi Konumda 2. Kat Aydınlık  Boş Kiralık Daire,İstanbul / Beyoğlu / Firuzağa Mah.,2+1,88,7,91500,15,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/10524-2793
Osmanbey Merkez'de Masrafsız 1+1 Kiralık Daire,İstanbul / Şişli / Cumhuriyet Mah.,1+1,52,12,44500,23,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/9979-1491
Ataköy Konakları A Tipi 4+1 Kdv Avantajlı Kiralık Daire,İstanbul / Bakırköy / Ataköy 2-5-6. Kısım Mah.,4+1,169,8,134500,24,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-2-5-6-kisim-kiralik/daire/6231-16366
Plevne Konutlarında 1+1 Boş Taşınmaya Hazır Daire Kaya Aş,İstanbul / Gaziosmanpaşa / Mevlana Mah.,1+1,56,11,34500,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-mevlana-kiralik/daire/2033-4426
Mashattanda 1+1 Ankastre Mutfaklı Ara Kat,İstanbul / Sarıyer / Maslak Mah.,1+1,59,3,78000,6,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/33600-50143
Prime Konsept | Sıfır 1+1 | Her Şey Dahil | Ebeveyn Banyolu,İstanbul / Bahçelievler / Yenibosna Merkez Mah.,1+1,53,3,33000,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-kiralik/daire/118279-404
Caddebostan Varon Yetkili Bağdata Yakın 90m2 Kombili Kiralık Lüx,İstanbul / Kadıköy / Göztepe Mah.,2+1,90,10,101000,0,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/122463-2397
Fırsat Ulus Sayhan Sitesi Yüksek Giriş Daire,İstanbul / Beşiktaş / Ortaköy Mah.,2+1,79,1,52500,14,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-ortakoy-kiralik/daire/2608-7288
Beşiktaş Akaretler De  8 Yıllık Binada Eşyasız Arakat Masrafsız 1+1 Çok Merkezi Konum Kiralık,İstanbul / Beşiktaş / Türkali Mah.,1+1,50,11,33000,8,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-turkali-kiralik/daire/138823-277
Get House’dan Eşyalı 1+1 Kiralık Daire Levent Metro 8 Dk,İstanbul / Kağıthane / Ortabayır Mah.,1+1,57,11,39500,25,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/137955-31
Oya Emlaktan Ortaköy'de 2+1 Kiralık Daire,İstanbul / Beşiktaş / Mecidiye Mah.,2+1,96,11,57000,16,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/134032-35
Oya Emlaktan Çağlayan'da 2+1 Eşyalı Bakımlı Daire,İstanbul / Kağıthane / Çağlayan Mah.,2+1,88,12,50000,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-kiralik/daire/134032-37
Oya Emlak'tan Gürsel Mahallesinde 2+1 Kiralık Daire,İstanbul / Kağıthane / Gürsel Mah.,2+1,83,7,56500,7,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kagithane-gursel-kiralik/daire/134032-38
Üsküdar Boğaz Manzaralı Eşyalı Kiralık 3+1 Daire Sultantepe,İstanbul / Üsküdar / Sultantepe Mah.,3+1,106,6,72500,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/19061-1040
Sancaktepe Merkezi Konumda Metroya Yakın 2+1 Kiralık Daire,İstanbul / Sancaktepe / İnönü Mah.,2+1,92,6,59500,7,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sancaktepe-inonu-kiralik/daire/54389-2847
Şile Ağlayankaya'da Havuzlu Site İçi Kiralık 3+1 Villa,İstanbul / Şile / Balibey Mah.,3+1,317,9,101000,3,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sile-balibey-kiralik/villa/8710-648
"Metroya 4dk Yürüme, Full Eşyalı,Herşey Dahil, Erkeklere Özel 1+0 Süit",İstanbul / Beşiktaş / Levent Mah.,1+0,39,3,30500,8,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/daire/167980-17
"Kiralık Beşiktaş Abbasağa Mahallesi Nardenk Sokak 2,5+1 Dubleks",İstanbul / Beşiktaş / Abbasağa Mah.,5+1,232,7,176500,15,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-abbasaga-kiralik/daire/150653-98
İnnovia 2 Havuz-Şehir-Peyzaj Manzaralı 1+1 Eşyalı Harika Kiralık Daire,İstanbul / Esenyurt / Yeşilkent Mah.,1+1,60,1,21500,19,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-kiralik/daire/124862-1330
İstanbul Prestij Park Sitesinden Ultra Lüx 3+1 Mükemmel Kiralık  Daire,İstanbul / Esenyurt / Zafer Mah.,3+1,136,2,45500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-zafer-kiralik/daire/124862-330
Esatpaşa Marmarams Sitesi 2+1 Kiralık,İstanbul / Ataşehir / Esatpaşa Mah.,2+1,85,3,36500,6,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-atasehir-esatpasa-kiralik/daire/26709-4232
Ümraniye İnkilap Mahallesin'de Arakat Balkonlu Kiralık Daire,İstanbul / Ümraniye / İnkılap Mah.,2+1,77,1,61500,6,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-umraniye-inkilap-kiralik/daire/167913-50
Şile Merkezde Cadde Üstü Ofis Ve Ev Kullanımlı Kiralık Daire,İstanbul / Şile / Hacı Kasım Mah.,2+1,87,4,32000,13,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sile-haci-kasim-kiralik/daire/8710-633
"Ares'ten Suadiye'de Marmaray'a, Cadde'ye Yakın, Yeni,3 Oda Salon",İstanbul / Kadıköy / Suadiye Mah.,2+1,81,5,67500,6,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-kiralik/daire/1887-1198
Bomonti Rotana Residence Kiralık Boğaz Manzaralı 3+1 Balkonlu,İstanbul / Şişli / Merkez Mah.,3+1,123,10,136500,22,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/residence/98015-2384
Etiler Sarıkonaklar'da 4+2 Bahçe Dubleksi Daire,İstanbul / Beşiktaş / Akat Mah.,4+2,205,7,265500,2,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-akat-kiralik/daire/98015-2343
Selenium Panorama'da Yüksek Kat Deniz Manzaralı 1+1 Kiralık,İstanbul / Beşiktaş / Gayrettepe Mah.,1+1,53,1,53000,19,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/residence/98015-2378
Vip Gayrımenkuldan Fatih Çapa Seyyid Ömerde 2+1 Kiralık Sıfır Daire,İstanbul / Fatih / Seyyid Ömer Mah.,2+1,91,7,50500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/129481-1424
Eyüpsultanda Guzeltepe De Site'de Asansörlü 3+1 Geniş Daire I 2 Ayrı Wc,İstanbul / Eyüpsultan / Güzeltepe Mah.,3+1,124,5,78000,22,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-eyupsultan-guzeltepe-kiralik/daire/166944-12
